Sample,SE016_3,SE055_2,SE055_3,SE061_2,SE119_2,SE242_2
SE028,94.5141,1.146,99.6951,61.5937,1.9066,39.5274
SE029,94.4306,1.0447,99.6446,60.9405,1.892,39.4773
SE030,94.5335,1.2194,99.7356,62.4194,2.1483,39.5594
SE032,94.5121,1.2121,99.7305,61.9637,2.1216,39.5461
SE033,94.5199,1.1853,99.7524,62.0437,1.9152,39.5695
SE034,94.4947,1.1956,99.7305,61.9261,1.9599,39.5541
SE035,94.4306,1.0861,99.6749,60.9954,1.898,39.4913
SE036,94.4966,1.0954,99.7137,61.4049,1.9083,39.5367
SE037,94.5354,1.2142,99.749,62.3346,2.1577,39.5648
SE038,94.483,1.3144,99.6884,62.5572,2.1655,39.5421
SE039,0,0,99.7591,57.0819,0.1118,39.5735
SE043,94.5529,1.2214,99.7558,62.3732,2.1638,39.5641
SE044,94.5238,1.2142,99.7356,62.3337,2.1534,39.5628
SE047,94.4326,98.4376,99.7069,62.1275,70.5278,87.014
SE050,94.5141,1.208,99.749,62.168,2.0296,39.5534
SE055,94.5063,98.4014,99.7255,62.3616,70.4263,86.8663
SE061,9.5281,0,99.7322,97.6723,0.7061,39.5501
SE062,9.9996,0,99.7288,97.6819,0.774,39.5541
SE064,10.3276,0,99.7019,97.6704,0.8136,39.5407
SE065,0,0,99.7659,57.0886,0.1135,39.5762
SE066,94.5296,1.207,99.717,62.0947,2.1182,39.5508
SE067,94.518,1.1987,99.7322,62.0254,1.9685,39.5474
SE068,94.5393,1.2204,99.7356,62.4146,2.1208,39.5581
SE069,94.5316,1.2235,99.7305,62.378,2.1233,39.5608
SE070,94.5296,1.1512,99.7372,61.8471,1.9522,39.5488
SE071,94.5277,1.1574,99.7339,61.8674,1.9152,39.5434
SE072,94.4947,1.1326,99.7086,61.5099,1.9083,39.526
SE073,94.5393,1.2152,99.744,62.3337,2.1216,39.5581
SE074,94.5335,1.2101,99.7389,62.2402,2.0571,39.5561
SE075,94.5083,1.1966,99.7154,61.8886,2.0201,39.5521
SE079,94.485,1.0716,99.6716,61.1592,2.0021,39.5374
SE080,94.4306,1.0892,99.6025,60.6149,2.0176,39.4599
SE081,94.1726,0.9383,98.218,58.8123,1.9419,38.8806
SE082,94.1861,0.9052,98.4757,58.8527,1.9625,38.9775
SE083,94.4209,1.0416,99.52,60.3461,1.8791,39.4472
SE084,94.3317,0.9579,99.5149,60.1881,1.9866,39.4439
SE085,94.2909,0.961,99.5621,60.0146,1.9402,39.4365
SE086,94.4442,1.0323,99.6463,60.5879,1.9883,39.494
SE087,94.4636,1.1129,99.6749,60.8779,1.8929,39.504
SE088,94.4811,1.1946,99.7322,61.6121,2.0047,39.5394
SE089,94.5393,1.208,99.7474,62.219,1.9608,39.5661
SE090,94.4306,1.0344,99.6665,60.9839,1.9058,39.5027
SE091,94.3918,1.0323,99.5553,60.5301,1.8619,39.4652
SE092,94.5432,1.2276,99.749,62.4165,2.1259,39.5668
SE093,94.3802,0.9858,99.584,60.874,1.8696,39.4606
SE094,94.516,1.2121,99.744,62.0649,1.9152,39.5581
SE095,86.4705,1.022,99.7002,61.2315,0,39.5468
SE096,94.4423,1.0964,99.5857,61.0841,1.898,39.4846
SE097,94.483,75.8732,99.7137,61.6939,63.3519,92.7564
SE098,94.3977,1.0158,99.5907,60.848,1.8808,39.4586
SE099,94.4384,1.0954,99.648,61.2883,1.8929,39.498
SE100,0,0,99.7002,57.0029,0,39.5087
SE101,94.3336,1.0199,99.5655,60.2902,1.8533,39.4559
SE102,94.4986,1.0778,99.7154,61.3577,1.9281,39.5461
SE103,94.5005,1.2039,99.7069,61.7778,1.9952,39.5334
SE104,94.4268,1.0602,99.653,60.9559,1.8765,39.5067
SE105,94.4365,84.8634,99.6412,61.2854,74.108,85.967
SE106,94.3103,0.9662,99.5604,60.3335,1.8817,39.4105
SE107,94.3996,1.1191,99.5991,60.5359,1.8817,39.4753
SE110,94.4171,1.1667,99.6396,61.3346,1.8782,39.514
SE111,94.4598,1.0892,99.6968,61.4656,1.9754,39.5301
SE113,94.4578,1.1429,99.7238,61.7546,1.8954,39.5254
SE114,0,0,99.7187,56.9904,0,39.5501
SE116,94.3627,1.1305,99.6497,61.112,1.8619,39.4906
SE119,4.5059,81.5566,99.5958,56.8815,99.9991,86.9792
SE120,94.483,1.1749,99.7002,61.7469,1.9092,39.5167
SE121,94.4966,1.1791,99.6749,61.7161,2.0244,39.522
SE122,0,0,99.7288,57.0539,0.049,39.5474
SE123,0,0,99.6951,57.025,0,39.5314
SE124,0,0,99.7288,57.0116,0,39.5528
SE125,94.4365,1.116,3.8335,6.4195,1.8989,1.5206
SE126,94.4481,1.177,99.4593,60.4116,1.855,39.4191
SE127,94.4559,1.0633,99.7052,61.2874,1.8903,39.5227
SE128,94.4248,1.0458,99.552,60.5262,1.8972,39.4272
SE129,0,0,99.6244,56.8632,0,39.4693
SE131,0,0,99.4897,56.7794,0,39.4145
SE132,0,0,99.6143,56.9123,0,39.488
SE133,0,0,99.6951,56.9846,0,39.5394
SE134,0,0,99.7154,56.9952,0,39.5347
SE135,0,0,99.7187,56.9961,0,39.5474
SE136,0,0,99.7036,56.9672,0,39.5254
SE137,0,0,99.616,56.8873,0,39.4926
SE138,0,0,99.7204,57.0173,0,39.5561
SE139,0,0,99.7086,56.9836,0,39.5187
SE140,0,0,99.6497,56.9162,0,39.508
SE141,0,0,99.7103,56.9971,0,39.5287
SE142,0,0,99.7221,56.9807,0,39.5468
SE143,0,0,99.7154,57.0077,0,39.5474
SE144,0,0,99.7356,57.0385,0,39.5581
SE145,0,0,99.7322,57.0154,0,39.5267
SE146,0,0,99.6783,57.0029,0,39.528
SE147,0,0,99.717,57.025,0,39.5394
SE148,0,0,99.7187,56.9846,0.0473,39.522
SE149,0,0,99.6109,56.8179,0,39.4639
SE150,0,0,99.5486,56.8882,0,39.4612
SE151,0,0,99.5217,56.763,0,39.3958
SE152,0,0,99.5907,56.8815,0,39.4746
SE153,0.2426,0,99.7187,57.0617,0.031,39.5581
SE154,0,0,99.7255,57.053,0.0327,39.5541
SE155,0,0,99.6834,56.9788,0,39.506
SE156,0,0,99.6665,56.9393,0,39.5113
SE157,0,0,99.7187,57.0096,0,39.5534
SE158,94.4656,1.1047,99.712,61.6198,1.8911,39.5287
SE159,94.4306,0.96,99.4947,60.5407,1.8628,39.4479
SE160,94.5063,1.1398,99.6581,61.5774,1.9135,39.514
SE161,94.4714,1.1388,99.6968,61.4637,1.8954,39.516
SE162,0,0,99.6867,56.9894,0,39.5067
SE163,0,0,99.648,56.9094,0,39.5027
SE164,94.4986,1.1842,99.7372,61.6371,1.9092,39.5468
SE165,94.4908,1.1853,99.712,61.8462,1.9892,39.5454
SE166,94.5277,1.2163,99.7339,62.4522,2.0305,39.5554
SE167,94.5005,1.2039,99.712,61.9021,1.9126,39.5468
SE168,94.4714,1.1925,99.6918,61.3355,1.9599,39.5321
SE169,94.5121,1.209,99.712,61.7749,1.9608,39.5521
SE170,94.5083,1.1894,99.7238,62.0331,1.9522,39.5494
SE171,94.5141,1.1997,99.7372,62.2412,2.0219,39.5594
SE172,0,0,99.6968,57.0337,0,39.5387
SE173,0,0,99.7423,57.053,0,39.5594
SE174,0,0,99.6631,56.9798,0,39.5093
SE175,0,0,99.6867,57.0453,0,39.5494
SE176,0,0,99.7271,57.0347,0,39.5394
SE177,0,0,99.6446,56.9422,0,39.4987
SE178,0,0,99.712,57.0453,0.08,39.5561
SE179,0,0,99.717,57.0202,0,39.5207
SE180,0,0,99.7002,57.0231,0,39.5301
SE181,94.4986,1.1977,99.7238,61.8693,1.9789,39.5494
SE182,94.518,1.1367,99.7339,61.9839,2.009,39.5427
SE183,94.2579,1.0168,99.7187,60.6014,2.5628,39.5728
SE184,0,0,99.6935,57.0289,0.092,39.5374
SE185,0,0,99.7086,57.0472,0.0593,39.5488
SE186,0,0,99.7019,57.0424,0.1066,39.5508
SE187,0,0,99.7322,57.0645,0.1152,39.5561
SE188,94.5335,1.2225,99.7036,62.3915,2.1466,39.5481
SE189,94.5413,1.2163,99.7372,62.4975,2.1466,39.5594
SE190,94.5335,1.2214,99.7474,62.43,2.1517,39.5668
SE191,0,0,99.7086,57.0453,0,39.5447
SE192,0.0737,0,99.7558,57.08,0.1307,39.5715
SE193,94.516,1.207,99.7036,62.0331,2.0709,39.5521
SE194,94.388,1.1274,99.6396,60.7103,1.9496,39.5047
SE195,94.518,1.2028,99.7255,62.0148,1.9952,39.5441
SE196,94.4403,1.1119,99.6665,61.5436,2.0167,39.5361
SE197,94.4869,1.1181,99.6379,61.7132,1.9298,39.5174
SE198,94.4966,1.2142,99.7221,62.0938,2.07,39.5574
SE199,94.5296,1.2142,99.749,62.3636,2.033,39.5608
SE201,94.4889,1.1481,99.7069,62.0572,2.1405,39.5474
SE202,94.4908,1.2059,99.7036,61.8057,1.9685,39.5374
SE203,94.5238,1.2132,3.9733,7.3174,2.0425,1.5761
SE204,94.3783,0.9776,99.5031,60.6467,1.8757,39.4412
SE208,94.1745,0.9703,99.424,59.6707,1.8868,39.3737
SE209,94.4733,1.116,99.7154,60.928,1.8843,39.5341
SE211,94.3414,1.1057,99.552,60.4482,1.8834,39.4599
SE212,94.2172,0.9548,99.3549,59.5917,1.8602,39.3296
SE213,94.4947,1.1543,99.7187,61.797,1.9032,39.5468
SE214,94.4559,80.0769,3.8385,6.0987,72.265,52.0544
SE216,0,0,99.6867,56.9759,0.0826,39.526
SE220,94.0639,72.676,99.2084,59.9482,60.6103,86.2516
SE221,94.3142,0.9621,99.2673,59.8663,1.8567,39.2989
SE222,94.2094,0.959,99.4071,59.6177,1.8378,39.3824
SE223,94.3724,0.9652,99.5132,59.9771,1.8834,39.4325
SE224,0,0,99.6901,56.974,0,39.51
SE226,1.991,98.235,99.493,56.7206,68.0407,86.1227
SE228,94.5044,1.209,99.6968,61.9965,1.9703,39.5427
SE230,0,0,99.7255,57.0549,0.0602,39.5548
SE231,94.5393,1.2142,99.7238,62.4214,2.1147,39.5601
SE233,94.551,1.2152,99.7423,62.404,2.156,39.5588
SE234,94.5393,1.2194,99.7389,62.273,2.1569,39.5494
SE235,94.5335,1.2142,99.712,62.2797,2.0399,39.5521
SE237,0,0,3.9935,2.2844,0,1.5854
SE238,94.551,1.2152,99.7288,62.2797,2.1147,39.5635
SE239,94.5083,1.1832,4.017,7.3174,1.9118,1.5948
SE240,94.5354,1.2121,99.749,62.1853,2.1371,39.5721
SE241,0,0,99.717,57.0462,0.0851,39.5548
SE242,94.5199,74.5061,99.744,61.8751,64.1053,98.7847
SE243,94.5219,1.2111,4.0389,7.3849,1.9144,1.6035
SE244,94.0911,1.1708,99.3347,61.6747,1.818,39.4051
ERR5751853,94.2308,1.0685,99.3313,60.8172,1.8791,39.3984
SRR10228815,94.2211,1.0954,99.6143,60.6544,1.9075,39.516
SRR10247588,94.2152,1.1202,99.6716,60.8846,1.9152,39.5401
SRR10294377,0,0,99.5469,56.868,0,39.5
SRR10431714,86.3638,1.1243,99.5975,60.6544,0,39.5093
SRR10519564,86.391,1.1171,99.6783,61.3037,0,39.5434
SRR10519604,86.3813,1.1315,99.6547,61.7055,0.0292,39.5387
SRR10522040,86.3929,1.1222,99.6446,61.2219,0,39.5401
SRR10667016,94.2463,1.1243,99.6968,61.8067,1.9943,39.5494
SRR10763791,0,0,99.6379,56.9489,0,39.5247
SRR10810788,86.3871,1.1274,99.6581,61.2296,0,39.5354
SRR10810791,86.4007,1.1326,99.6985,61.9271,0.0731,39.5501
SRR10810795,86.3968,1.1295,99.6783,61.9435,0.0542,39.5427
SRR10914135,94.2638,1.1326,99.6951,62.0601,2.0141,39.5481
SRR10947732,94.2288,1.084,99.6682,60.8249,1.9763,39.5387
SRR11096934,94.256,1.1233,99.685,61.3066,1.9918,39.5488
SRR11215357,94.19,1.0861,99.6581,60.8162,1.9152,39.5314
SRR11362268,94.2482,1.1284,99.6901,61.3934,1.9513,39.5468
SRR11362287,94.2249,1.1212,99.6985,61.2517,1.9152,39.5494
SRR11516598,94.2133,1.1284,99.6699,61.2642,1.9986,39.5387
SRR12694552,94.2288,1.0044,99.6783,60.453,1.9462,39.5427
SRR12743424,94.2211,1.084,99.6665,60.3644,1.9152,39.5347
SRR12770175,0,0,99.648,56.9798,0,39.5301
SRR13672975,94.192,1.1656,99.2892,61.0764,1.9883,39.3924
SRR15428700,94.1881,29.9136,99.6884,60.9415,26.7839,59.4598
SRR16168853,91.7449,28.6157,97.2378,57.7341,25.6727,57.5049
SRR16568786,94.0484,29.3773,99.5857,59.6495,26.4141,58.9948
SRR16976143,0,0,99.6059,56.9075,0,39.506
SRR16993400,94.1958,76.705,99.5772,60.9877,63.8808,91.4889
SRR17130969,94.1823,76.0003,99.5873,60.295,65.0281,87.1583
SRR17205340,94.2405,1.1295,99.6918,61.3211,1.972,39.5474
SRR18762096,94.2133,1.1212,99.6412,61.3529,1.9892,39.5274
SRR19019569,93.8465,1.0458,99.1528,59.5801,1.892,39.2869
SRR19023451,93.6505,1.2049,99.4998,60.401,1.9995,39.4733
SRR19136144,94.1279,1.1243,99.4998,60.7989,1.9376,39.4652
SRR19325510,94.2249,1.084,99.6564,60.9309,1.9488,39.5287
SRR19349898,93.9746,0.9869,99.0366,59.0204,1.8825,39.2441
SRR1959458,0,0,99.3179,56.7447,0,39.3791
SRR1959510,0,0,99.5048,56.8487,0,39.4699
SRR1961769,0,0,99.5722,56.9191,0,39.4966
SRR1963255,0,0,99.621,56.9566,0,39.5167
SRR1963283,0,0,99.6126,56.9509,0,39.516
SRR1966916,0,0,99.5301,56.8998,0,39.4833
SRR1967329,0,0,99.5991,56.9316,0,39.5067
SRR1968066,0,0,99.5368,56.8969,0,39.4826
SRR1969338,0,0,99.2859,56.7447,0,39.3817
SRR1970115,0,0,99.5503,56.9268,0,39.488
SRR20715499,86.389,1.1233,99.6699,61.6169,0.0791,39.5407
SRR21130293,94.2017,1.1026,99.6042,61.1082,1.9677,39.5093
SRR22085378,94.1861,1.1005,99.616,61.0369,1.9135,39.5113
SRR22434319,94.1881,1.1088,99.6227,60.8702,1.9668,39.5174
SRR22434451,86.3561,78.5713,99.5537,61.4329,63.8946,92.7123
SRR23195272,94.1376,17.379,99.5857,61.271,18.367,47.8106
SRR25872774,0,0,99.6025,56.9653,0,39.5133
SRR28200806,94.157,1.0923,99.5688,60.3971,1.9023,39.4906
SRR28200933,94.2288,74.0059,99.6615,61.3433,63.9023,98.4132
SRR28277025,94.2502,1.1326,99.6648,61.8125,1.9978,39.5394
SRR28281987,94.2191,1.1202,99.6295,60.9126,1.9574,39.5194
SRR28402537,0,79.4279,99.6244,57.0029,70.95,90.4781
SRR28414968,94.2094,1.1171,99.6615,61.1795,1.9909,39.5334
SRR28701891,94.1454,1.114,99.5402,60.3191,1.9367,39.4893
SRR28726834,94.126,1.115,99.52,60.428,1.9101,39.4686
SRR29077946,94.1958,1.1067,99.5638,60.3297,1.9789,39.4966
SRR29080434,94.1745,1.1078,99.5452,60.4193,1.9728,39.4786
SRR29080486,94.2036,1.1274,3.9328,6.3598,1.9453,1.5594
SRR29184389,94.1764,1.0871,99.6177,60.6958,1.978,39.5127
SRR29188942,94.2036,1.0943,99.6193,60.7738,1.9668,39.5214
SRR29334257,94.223,1.085,99.6379,60.7016,1.9152,39.5227
SRR29334263,94.2521,1.1181,99.6699,61.5225,1.9943,39.5381
SRR29334335,94.2347,1.1243,99.6547,61.482,1.9969,39.5347
SRR29339894,94.2288,1.1315,99.653,61.4858,1.9763,39.5354
SRR29339915,94.2327,1.1305,99.6598,61.4627,1.9539,39.5327
SRR29482056,94.2444,1.1326,99.6598,61.2874,2.0055,39.5341
SRR29499509,94.2036,1.0995,99.5958,60.6794,2.0021,39.506
SRR29503918,94.2036,1.1264,99.6059,61.1361,1.9943,39.5247
SRR29503960,94.2327,1.1305,99.6631,61.4974,1.9926,39.5387
SRR29504084,94.2618,1.24,99.68,62.3674,2.0803,39.5454
SRR30181462,0,0,99.3819,56.7977,0,39.3991
SRR30347754,0,0,99.5638,56.9181,0.0404,39.4906
SRR30755747,94.1182,1.1212,99.3987,60.0821,1.9462,39.4252
SRR5193213,5.9128,0,99.621,58.5473,0,39.518
SRR5215671,0,0,99.5537,56.9181,0,39.4853
SRR5220321,0,0,99.6278,56.9672,0,39.524
SRR6898085,0,0,99.4846,56.7774,0,39.4459
SRR6898089,0,0,99.6379,56.9807,0,39.5247
SRR6898124,0,0,99.5975,56.9393,0,39.5067
SRR6900479,0,0,97.9603,55.9575,0,38.8486
SRR6918656,94.2075,1.0923,99.6025,60.5551,1.9324,39.5093
SRR6919817,0,0,99.2219,56.6859,0,39.3577
SRR6922530,94.2055,1.1264,99.6328,61.2922,1.9771,39.524
SRR7285756,0,0,98.8143,56.367,0,39.1886
SRR7456980,0,0,99.6867,56.9971,0,39.5434
SRR7458633,0,0,97.9906,55.9238,0,38.8386
SRR7480388,0,0,99.584,56.8902,0,39.506
SRR7873864,94.2075,1.1284,99.6463,61.0706,1.9152,39.52
SRR7890453,0,0,99.6463,56.9884,0,39.5294
SRR7892289,0,0,99.6396,56.9875,0,39.5307
SRR7997138,0,0,99.6193,56.9692,0,39.52
SRR8137285,0,0.0393,99.5756,56.8882,0.0327,39.5227
SRR8239915,0,0,99.68,57.0067,0,39.5434
SRR8297312,0,0,99.6867,57.0318,0,39.5414
SRR8448469,0,0,99.6193,56.9412,0,39.5301
SRR8485123,0,0,99.6682,57.001,0,39.5361
SRR8509111,0,0,99.6514,57.0038,0,39.5341
SRR8524471,0.1106,0,99.6025,56.9335,0,39.504
SRR8648032,0,0,99.5941,56.948,0,39.5127
SRR8724946,0,0,99.6716,57.0116,0,39.5394
SRR8879004,94.2249,1.1067,99.6362,61.0561,1.9875,39.526
SRR8893154,0,0,99.6884,57.0231,0,39.5447
SRR9109561,94.2347,1.1181,99.6547,61.5485,1.9746,39.5387
SRR9122664,94.2308,1.1274,99.653,61.1756,1.9943,39.5321
SRR9122665,94.192,77.0739,99.6631,60.8008,64.2704,91.5992
SRR9122710,94.1978,1.0995,99.6648,60.9559,1.9135,39.5367
SRR9122712,94.223,1.1212,99.6581,60.981,1.9746,39.5314
SRR9153199,94.2424,1.1253,99.6783,61.6333,2.009,39.5394
SRR9153205,94.2482,1.1305,99.6295,61.4377,1.9943,39.5347
SRR9153229,94.2599,1.1284,99.6716,61.5995,1.9849,39.5434
SRR9153240,94.19,74.3242,99.6497,61.6699,62.1634,88.7624
SRR9224567,94.2152,1.1305,99.6783,61.1149,1.9436,39.5427
SRR9224586,94.2191,1.1305,99.685,61.4608,1.9763,39.5454
SRR9224587,94.2366,1.1067,99.6564,60.848,1.9883,39.5341
SRR9224588,94.2211,1.1181,99.5638,60.585,1.9152,39.51
SRR9224610,94.2444,1.1295,99.6766,61.5205,1.9832,39.5427
SRR9224611,94.2463,1.1305,99.685,61.6255,2.0038,39.5447
SRR9224612,94.2327,1.1305,99.68,61.6304,1.9625,39.5407
SRR9224613,94.2347,1.1264,99.6716,61.4406,1.9892,39.5367
SRR9225005,94.2308,1.1388,99.6918,61.5697,1.9703,39.5481
SRR9225006,94.2191,1.1191,99.6059,60.6669,1.9599,39.5133
SRR9225007,94.223,1.1119,99.6564,61.086,1.9513,39.5341
SRR9225009,94.2191,1.1026,99.648,61.0985,1.9771,39.5267
SRR9225010,94.2288,1.1202,99.6699,61.4569,1.9711,39.5387
SRR9257724,0,0,99.6412,56.9663,0.1084,39.5267
SRR9261536,94.2308,1.114,99.6682,61.4993,1.9823,39.5387
SRR9273863,0,0,99.6648,56.9798,0,39.5341
SRR9304521,94.2249,1.1264,99.68,61.3799,1.9152,39.5421
SRR9321741,94.2463,1.1274,99.6901,61.4839,1.9849,39.5454
SRR9678295,94.2405,1.1346,99.6682,61.7633,1.9969,39.5381
SRR9719589,94.19,1.0747,99.5503,60.2141,1.9049,39.4926
SRR9827014,94.2579,1.1181,99.6581,60.7931,2.0227,39.5354
SRR10066835,94.7896,0.9827,99.2774,61.482,1.8843,39.3904
SRR10298109,0,0,4.017,2.2978,0,1.5968
SRR10333963,94.7567,0.992,99.3734,60.743,1.8834,39.4131
SRR10413913,0,0,99.3347,56.71,0,39.3904
SRR10524278,0,0,96.943,54.9758,0,38.4023
SRR10883335,94.1629,0.9662,97.4483,59.0685,1.8963,38.6381
SRR11033281,94.7761,0.9393,99.3532,60.0233,1.8585,39.3764
SRR11314419,94.3356,1.0375,99.4408,60.6024,1.9066,39.4412
SRR18071763,95.0439,0.9796,99.6699,60.3046,1.8808,39.5307
SRR18100380,94.842,0.9838,99.301,61.5061,1.9152,39.3771
SRR18163370,94.8091,0.9838,99.1747,60.0002,1.8911,39.333
SRR20281809,89.4764,0.9497,97.9014,59.4645,1.8834,38.8339
SRR23073800,0,0,98.9995,56.3978,0,39.2274
SRR23479310,93.9572,0.9445,98.3578,58.4394,1.843,38.9267
SRR23602597,0,0,98.7503,56.0712,0,39.1125
SRR23724988,94.1958,1.0509,98.8463,59.6476,1.8722,39.182
SRR23932213,94.6984,0.9135,3.9177,4.6631,1.6761,1.5547
SRR26804881,0,0,99.6682,56.8719,0,39.51
SRR27873616,0,0,98.9557,56.4421,0,39.2221
SRR28582564,94.3259,0.93,98.3544,58.661,1.8662,38.9354
SRR29881189,86.2008,0.9755,98.9187,59.242,0,39.2448
SRR3898621,2.3151,80.5264,97.9249,55.8063,63.7149,87.5217
SRR4446481,0,0,99.4913,56.8401,0,39.4652
SRR4446482,0,0,99.0265,56.5067,0,39.2448
SRR5955301,0,0,96.0739,54.5355,0,38.0595
SRR6310356,0,0,95.1779,54.0769,0,37.7449
SRR7269152,0,0,98.309,55.8159,0,38.9688
SRR8176014,0,0,98.8816,56.4499,0,39.218
SRR8298719,0,0,96.2929,54.8929,0,38.2005
SRR8327763,0.1126,74.7747,96.1025,54.6944,62.2554,89.3483
SRR8757177,0,0,99.2707,56.6522,0,39.3811
SRR8899705,0,0,96.5337,55.0105,0,38.28
SRR9267752,0,0,98.2433,55.8323,0,38.8419
SRR9268579,0,0,57.3317,32.4588,0,22.7318
