Sample	ST64B (AY055382.1)
SRR30514786	1
SRR30755747	1
SRR3898621	1
SRR4446481	1
SRR4446482	1
SRR5193213	1
SRR5215671	1
SRR5220321	1
SRR5955301	1
SRR6310356	1
SRR6898085	1
SRR6898089	1
SRR6898124	1
SRR6900479	1
SRR6918656	1
SRR6919817	1
SRR6922530	1
SRR7062216	1
SRR7062217	
SRR7269152	1
SRR7285756	1
SRR7456980	1
SRR7458633	1
SRR7480388	1
SRR7873864	1
SRR7890453	1
SRR7892289	1
SRR7997138	1
SRR8137285	1
SRR8176014	1
SRR8239915	1
SRR8297312	1
SRR8298719	1
SRR8327763	1
SRR8448469	1
SRR8485123	1
SRR8509111	1
SRR8524471	1
SRR8648032	1
SRR8724946	1
SRR8757177	1
SRR8879004	1
SRR8893154	1
SRR8899705	1
SRR9109561	1
SRR9122664	1
SRR9122665	1
SRR9122710	1
SRR9122712	1
SRR9153199	1
SRR9153205	1
SRR9153229	1
SRR9153240	1
SRR9224567	1
SRR9224586	1
SRR9224587	1
SRR9224588	1
SRR9224610	1
SRR9224611	1
SRR9224612	1
SRR9224613	1
SRR9225005	1
SRR9225006	1
SRR9225007	1
SRR9225009	1
SRR9225010	1
SRR9257724	1
SRR9261536	1
SRR9267752	1
SRR9268579	1
SRR9273863	1
SRR9304521	1
SRR9321741	1
SRR9678295	1
SRR9719589	1
SRR9827014	1
